1,1,120.6,332.7,135.63000000000002,62.69,1,1,1.0
1,2,731.4,266.26,74.77999999999997,41.0,1,1,1.0
1,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
2,1,96.3,335.94,139.5,62.97000000000003,1,1,1.0
2,2,717.87,267.49,75.85000000000002,41.68000000000001,1,1,1.0
2,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
3,1,72.0,339.18,143.38,63.24000000000001,1,1,1.0
3,2,704.34,268.72,76.92999999999995,42.349999999999966,1,1,1.0
3,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
4,1,46.34,343.18,147.25,63.52999999999997,1,1,1.0
4,2,690.81,269.94,78.0,43.03000000000003,1,1,1.0
4,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
5,1,20.69,347.19,151.12,63.81,1,1,1.0
5,2,677.28,271.17,79.08000000000004,43.70999999999998,1,1,1.0
5,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
6,1,0.0,350.99,148.36,65.63999999999999,1,1,1.0
6,2,663.76,272.4,80.13999999999999,44.379999999999995,1,1,1.0
6,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
7,1,0.0,354.79,124.91,67.47999999999996,1,1,1.0
7,2,648.89,274.64,81.50999999999999,44.78000000000003,1,1,1.0
7,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
8,1,0.5,358.58,100.95,69.32,1,1,1.0
8,2,634.03,276.88,82.87,45.19,1,1,1.0
8,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
9,1,0.0,362.38,78.0,60.860000000000014,1,1,1.0
9,2,619.16,279.12,84.24000000000001,45.589999999999975,1,1,1.0
9,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
10,1,0.0,366.17,52.6,60.129999999999995,1,1,1.0
10,2,604.3,281.35,85.60000000000002,46.00999999999999,1,1,1.0
10,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
11,1,0.0,366.17,31.0,60.129999999999995,1,1,1.0
11,2,589.43,283.59,86.97000000000003,46.410000000000025,1,1,1.0
11,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
12,2,573.3,285.53,88.70000000000005,47.48000000000002,1,1,1.0
12,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
13,2,557.16,287.48,90.44000000000005,48.52999999999997,1,1,1.0
13,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
14,2,541.03,289.42,92.17000000000007,49.599999999999966,1,1,1.0
14,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
15,2,524.89,291.36,93.90999999999997,50.66999999999996,1,1,1.0
15,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
16,2,508.76,293.3,95.63999999999999,51.72999999999996,1,1,1.0
16,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
17,2,491.49,296.0,96.87,52.50999999999999,1,1,1.0
17,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
18,2,474.22,298.7,98.10000000000002,53.28000000000003,1,1,1.0
18,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
19,2,456.95,301.4,99.32999999999998,54.05000000000001,1,1,1.0
19,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
20,2,439.68,304.1,100.56,54.829999999999984,1,1,1.0
20,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
21,2,422.41,306.8,101.79000000000002,55.599999999999966,1,1,1.0
21,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
22,2,403.34,309.88,104.32000000000005,56.660000000000025,1,1,1.0
22,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
23,2,384.26,312.96,106.86000000000001,57.73000000000002,1,1,1.0
23,3,208.3,247.79,96.49000000000001,44.84,1,1,1.0
